editorial,edit_1,edit_2,edit_3,edit_4,edit_5,edit_6,edit_7
"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM
"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM
"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM
"PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM",PIEB,UPEA,CEBIAE,Centro de promoción de la mujer Gregoria Apaza,Red Habitat,Wayna Tambo, CISTEM
"PIEB,DICyT",PIEB,DICyT,,,,,
"PIEB,DICyT",PIEB,DICyT,,,,,
PIEB,PIEB,,,,,,
"PIEB,iBase",PIEB,iBase,,,,,
Instituto de Estudios Bolivianos,Instituto de Estudios Bolivianos,,,,,,
Instituto de Estudios Bolivianos,Instituto de Estudios Bolivianos,,,,,,
Instituto de Estudios Bolivianos,Instituto de Estudios Bolivianos,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
"PROMESHA,IIACH - UMSS",PROMESHA,IIACH - UMSS,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
"CEDIB,Plural Editores,Cooperación Unión Europea",CEDIB,Plural Editores,Cooperación Unión Europea,,,,
CESU - UMSS,CESU - UMSS,,,,,,
"CIDES - UMSA,DIPGIS - UMSA,PIEB",CIDES - UMSA,DIPGIS - UMSA,PIEB,,,,
"CIDES - UMSA,DIPGIS - UMSA,PIEB",CIDES - UMSA,DIPGIS - UMSA,PIEB,,,,
"CIDES - UMSA,DIPGIS - UMSA,PIEB",CIDES - UMSA,DIPGIS - UMSA,PIEB,,,,
"CIDES - UMSA,DIPGIS - UMSA,PIEB",CIDES - UMSA,DIPGIS - UMSA,PIEB,,,,
"CIDES - UMSA,DIPGIS - UMSA,PIEB",CIDES - UMSA,DIPGIS - UMSA,PIEB,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
Instituto de Ecología - UMSA,Instituto de Ecología - UMSA,,,,,,
"CLACSO,Siglo del Hombre",CLACSO,Siglo del Hombre,,,,,
IRD,IRD,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
"PIEB,Defensoría del Pueblo,Pastoral de Movilidad Humana",PIEB,Defensoría del Pueblo,Pastoral de Movilidad Humana,,,,
"GAM - Oruro,FAM-Bolivia,PIEB",GAM - Oruro,FAM-Bolivia,PIEB,,,,
"GAM - Cochabamba,FAM-Bolivia,PIEB",GAM - Cochabamba,FAM-Bolivia,PIEB,,,,
"GAM - Cochabamba,FAM-Bolivia,PIEB",GAM - Cochabamba,FAM-Bolivia,PIEB,,,,
"GAM - Trinidad,FAM-Bolivia,PIEB",GAM - Trinidad,FAM-Bolivia,PIEB,,,,
"GAM - Oruro,FAM-Bolivia,PIEB",GAM - Oruro,FAM-Bolivia,PIEB,,,,
"GAM - La Paz,FAM-Bolivia,PIEB",GAM - La Paz,FAM-Bolivia,PIEB,,,,
"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB,,,
"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB,,,
"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB,,,
"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB,,,
"UAGRM,CEDURE,PIEB",UAGRM,CEDURE,PIEB,,,,
"PIEB,iBase",PIEB,iBase,,,,,
"PIEB,iBase",PIEB,iBase,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IFEA,IFEA,,,,,,
X Encuentro para la Promoción y Difusión del Patrimonio Inmaterial de Países Iberoamericanos,X Encuentro para la Promoción y Difusión del Patrimonio Inmaterial de Países Iberoamericanos,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
"GAM - El Alto,FAM-Bolivia,PIEB",GAM - El Alto,FAM-Bolivia,PIEB,,,,
"Defensoría del Pueblo,Pastoral de Movilidad Humana,PIEB",Defensoría del Pueblo,Pastoral de Movilidad Humana,PIEB,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
Red Habitat,Red Habitat,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
"IFEA,PIEB",IFEA,PIEB,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
"GAM - La Paz,CIDES - UMSA,PIEB,OXFAM",GAM - La Paz,CIDES - UMSA,PIEB,OXFAM,,,
PIEB,PIEB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
CEDURE,CEDURE,,,,,,
Universidad Internacional de Andalucia,Universidad Internacional de Andalucia,,,,,,
UPSA,UPSA,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
PIEB,PIEB,,,,,,
PIEB,PIEB,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
IDIS - UMSA,IDIS - UMSA,,,,,,
CEPLAG,CEPLAG,,,,,,
Universidad Nacional de Nordeste,Universidad Nacional de Nordeste,,,,,,
Universidad de Buenos Aires,Universidad de Buenos Aires,,,,,,
"CESU - UMSS,Ciudadanía",CESU - UMSS,Ciudadanía,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
"PIEB,Cooperación de Países Bajos",PIEB,Cooperación de Países Bajos,,,,,
"PIEB,Cooperación de Países Bajos",PIEB,Cooperación de Países Bajos,,,,,
"PIEB,Cooperación de Países Bajos",PIEB,Cooperación de Países Bajos,,,,,
"PIEB,Cooperación de Países Bajos",PIEB,Cooperación de Países Bajos,,,,,
"PIEB,jatupeando,Cooperación de Países Bajos",PIEB,jatupeando,Cooperación de Países Bajos,,,,
"UAGRM,Museo de historia Santa Cruz,PIEB,Cooperación de Países Bajos",UAGRM,Museo de historia Santa Cruz,PIEB,Cooperación de Países Bajos,,,
Instituto de Estudios Bolivianos,Instituto de Estudios Bolivianos,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEDIB,CEDIB,,,,,,
CEPLAG,CEPLAG,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
IIACH - UMSS,IIACH - UMSS,,,,,,
UCB,UCB,,,,,,
CESU - UMSS,CESU - UMSS,,,,,,
CIDES - UMSA,CIDES - UMSA,,,,,,
"CEDURE,PIEB,jatupeando",CEDURE,PIEB,jatupeando,,,,
"CEDURE,PIEB,jatupeando",CEDURE,PIEB,jatupeando,,,,
